#{"t_start": 1661976480.8830621, "env_id": null}
r,l,t
-328999682.282893,26303,25.056742
-328963935.581022,26303,50.703805
-329115813.112122,26303,76.01
-329036470.649366,26303,100.909837
-328982449.793709,26303,125.698732
-329011022.174311,26303,150.718891
-328998376.269941,26303,175.249727
-329101061.568661,26303,200.071173
-328996079.534084,26303,224.99421
-329021975.161837,26303,250.23193
-329014608.472187,26303,275.013144
-329036958.548056,26303,300.249223
-328959253.798734,26303,324.805854
-329066125.571042,26303,349.385153
-329029892.326766,26303,374.111604
-329039709.217467,26303,398.932692
-328988981.013246,26303,424.450622
-329012454.683611,26303,449.543455
-328988788.448844,26303,474.27525
-328945393.913961,26303,499.170214
-329056866.653296,26303,523.836054
-329051650.038041,26303,548.637316
-329018350.258613,26303,573.71527
-328951930.046228,26303,598.559987
-328984736.385781,26303,624.057716
-328992843.966197,26303,649.474987
-328995442.831294,26303,674.74093
-329008626.684274,26303,699.97042
-329007305.666866,26303,725.084113
-328999536.832822,26303,750.478064
-328935410.193107,26303,775.466864
-328929720.959189,26303,801.38213
-328895436.021011,26303,826.848752
-329047141.001768,26303,852.449423
-328950157.030942,26303,877.330748
-328757465.620259,26303,903.239763
-329055841.832468,26303,929.121346
-328959112.422535,26303,954.593995
-328946566.837976,26303,1414.939403
